2023-06-22 21:23:12 [main] INFO  com.mobisoft.BlogsAppApplication - BlogsAppApplication.class log from BlogsAppApplication
2023-06-22 21:23:13 [restartedMain] INFO  com.mobisoft.BlogsAppApplication - BlogsAppApplication.class log from BlogsAppApplication
2023-06-22 21:23:13 [restartedMain] INFO  com.mobisoft.BlogsAppApplication - Starting BlogsAppApplication using Java 17.0.5 on DESKTOP-3KL77O9 with PID 21868 (C:\Users\HP\OneDrive\Desktop\localdisk\java_project\blogs-app\target\classes started by Sandip Kolhekar in C:\Users\HP\OneDrive\Desktop\localdisk\java_project\blogs-app)
2023-06-22 21:23:13 [restartedMain] INFO  com.mobisoft.BlogsAppApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-22 21:23:13 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-06-22 21:23:13 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-06-22 21:23:17 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8282 (http)
2023-06-22 21:23:17 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3283 ms
2023-06-22 21:23:23 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-06-22 21:23:25 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-06-22 21:23:25 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8282 (http) with context path ''
2023-06-22 21:23:25 [restartedMain] INFO  com.mobisoft.BlogsAppApplication - Started BlogsAppApplication in 12.446 seconds (JVM running for 14.597)
2023-06-22 21:25:22 [http-nio-8282-exec-5] INFO  c.m.controllers.CategoryController - createCategory method execution stated...
2023-06-22 21:25:22 [http-nio-8282-exec-5] INFO  c.m.controllers.CategoryController - createCategory com.mobisoft.dto.CategoryDto@774e0f26
2023-06-22 21:25:22 [http-nio-8282-exec-5] INFO  c.m.controllers.CategoryController - createCategory method execution ended with response...
2023-06-22 21:26:26 [RMI TCP Connection(5)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2023-06-22 21:26:26 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-06-22 21:26:27 [restartedMain] INFO  com.mobisoft.BlogsAppApplication - BlogsAppApplication.class log from BlogsAppApplication
2023-06-22 21:26:27 [restartedMain] INFO  com.mobisoft.BlogsAppApplication - Starting BlogsAppApplication using Java 17.0.5 on DESKTOP-3KL77O9 with PID 21868 (C:\Users\HP\OneDrive\Desktop\localdisk\java_project\blogs-app\target\classes started by Sandip Kolhekar in C:\Users\HP\OneDrive\Desktop\localdisk\java_project\blogs-app)
2023-06-22 21:26:27 [restartedMain] INFO  com.mobisoft.BlogsAppApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-22 21:26:28 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8282 (http)
